Datetime,Close
01-03-2021 12:07,1322
01-03-2021 12:07,398
01-03-2021 12:07,1660
01-03-2021 12:07,65
01-03-2021 12:07,238
01-03-2021 12:07,490
01-03-2021 12:07,111
01-03-2021 12:07,138
01-03-2021 12:07,267
01-03-2021 12:07,35300
01-03-2021 12:07,12
01-03-2021 12:07,128
01-03-2021 12:07,781
01-03-2021 12:07,299
01-03-2021 12:07,450
01-03-2021 12:07,54
01-03-2021 12:07,10
01-03-2021 12:07,1056
01-03-2021 12:07,124
01-03-2021 12:07,445
01-03-2021 12:07,745
01-03-2021 12:07,777
01-03-2021 12:07,11
01-03-2021 12:07,462
01-03-2021 12:07,9
01-03-2021 12:07,994
01-03-2021 12:07,540
01-03-2021 12:07,14
01-03-2021 12:07,38
01-03-2021 12:07,430
01-03-2021 12:07,10
01-03-2021 12:07,45
01-03-2021 12:07,708
01-03-2021 12:07,690
01-03-2021 12:07,221
01-03-2021 12:07,77
01-03-2021 12:07,201
01-03-2021 12:07,7
01-03-2021 12:07,141
01-03-2021 12:07,289
01-03-2021 12:07,95
01-03-2021 12:07,13
01-03-2021 12:07,1600
01-03-2021 12:07,1174
01-03-2021 12:07,204
01-03-2021 12:07,801
01-03-2021 12:07,1349
01-03-2021 12:07,484
01-03-2021 12:07,497
01-03-2021 12:07,165
01-03-2021 12:07,411
01-03-2021 12:07,180
01-03-2021 12:07,495
01-03-2021 12:07,221
01-03-2021 12:07,53
01-03-2021 12:07,470
01-03-2021 12:07,1340
01-03-2021 12:07,826
01-03-2021 12:07,843
01-03-2021 12:07,20
01-03-2021 12:07,1050
01-03-2021 12:07,22
01-03-2021 12:07,15
01-03-2021 12:07,282
01-03-2021 12:07,42
01-03-2021 12:07,364
01-03-2021 12:07,1048
01-03-2021 12:07,1389
01-03-2021 12:07,28
01-03-2021 12:07,868
01-03-2021 12:07,23
01-03-2021 12:07,1731
01-03-2021 12:07,872
01-03-2021 12:07,928
01-03-2021 12:07,26
01-03-2021 12:07,567
01-03-2021 12:07,978
01-03-2021 12:07,599
01-03-2021 12:07,32
01-03-2021 12:07,68
01-03-2021 12:07,32
01-03-2021 12:07,363
01-03-2021 12:07,1191
01-03-2021 12:07,907
01-03-2021 12:07,147
01-03-2021 12:07,2594
01-03-2021 12:07,115
01-03-2021 12:07,300
01-03-2021 12:07,281
01-03-2021 12:07,948
01-03-2021 12:07,30
01-03-2021 12:07,419
01-03-2021 12:07,18
01-03-2021 12:07,335
01-03-2021 12:07,18
01-03-2021 12:07,80
01-03-2021 12:07,960
01-03-2021 12:07,25
01-03-2021 12:07,100
01-03-2021 12:07,535
01-03-2021 12:07,100
01-03-2021 12:07,16
01-03-2021 12:07,2002
01-03-2021 12:07,699
01-03-2021 12:07,1069
01-03-2021 12:07,1900
01-03-2021 12:07,1021
01-03-2021 12:07,747
01-03-2021 12:07,374
01-03-2021 12:07,307
01-03-2021 12:07,715
01-03-2021 12:07,228
01-03-2021 12:07,10
01-03-2021 12:07,1671
01-03-2021 12:07,370
01-03-2021 12:07,700
01-03-2021 12:07,584
01-03-2021 12:07,19
01-03-2021 12:07,16
01-03-2021 12:07,8
01-03-2021 12:07,232
01-03-2021 12:07,5
01-03-2021 12:07,170
01-03-2021 12:07,11
01-03-2021 12:07,342
01-03-2021 12:07,187
01-03-2021 12:07,69
01-03-2021 12:07,759
01-03-2021 12:07,1480
01-03-2021 12:07,211
01-03-2021 12:07,498
01-03-2021 12:07,8
01-03-2021 12:07,711
01-03-2021 12:07,315
01-03-2021 12:07,354
01-03-2021 12:07,24
01-03-2021 12:07,1137
01-03-2021 12:07,572
01-03-2021 12:07,209
01-03-2021 12:07,256
01-03-2021 12:07,922
01-03-2021 12:07,1010
01-03-2021 12:07,738
01-03-2021 12:07,289
01-03-2021 12:07,27
01-03-2021 12:07,375
01-03-2021 12:07,16
01-03-2021 12:07,89
01-03-2021 12:07,30
01-03-2021 12:07,107
01-03-2021 12:07,775
01-03-2021 12:07,12
01-03-2021 12:07,267
01-03-2021 12:07,72
01-03-2021 12:07,524
01-03-2021 12:07,152
01-03-2021 12:08,36
01-03-2021 12:08,9
01-03-2021 12:08,9
01-03-2021 12:08,1440
